101015;Animales de granja
101016;P†jaros y aves de corral
101017;Peces
101018;Mariscos e invertebrados acu†ticos
101019;Insectos
101020;Animales salvajes
101113;Tratamientos para los animales domÇsticos y accesorios y equipo
101215;Pienso para ganado
101216;Alimento para p†jaros y aves de corral
101217;Alimento para peces
101218;Alimento para perros y gatos
101219;Alimento para roedores
101220;Alimento para reptiles
101221;Comida para animales variados
101315;Cobertizos para animales
101316;Recipientes para animales
101317;H†bitat para animales
101415;Talabarter°a
101416;Arneses
101515;Semillas y pl†ntulas vegetales
101516;Semillas de cereales
101517;Semillas y pl†ntulas de hierba y forraje
101518;Semillas y pl†ntulas de especias
101519;Semillas, bulbos, pl†ntulas y esquejes de flores
101520;Semillas y esquejes de †rboles y arbustos
101521;Residuos que no sean de piensos
101522;Semillas de cultivos fibrosos y semilleros
101615;µrboles y arbustos
101616;Plantas florales
101618;Plantas sin flor
101619;Productos florales secos
101715;Abonos org†nicos y nutrientes para plantas
101716;Abonos qu°micos y nutrientes para plantas
101717;Herbicidas
101718;Acondicionadores de suelos
101915;Pesticidas o repelentes de plagas
101917;Dispositivos para control de plagas
102015;Rosales vivos azules o lavanda o p£rpura
102016;Rosales vivos chocolate o marr¢n
102017;Rosales vivos crema
102018;Rosales vivos verdes o lima
102019;Rosales vivos rosado claro
102020;Rosales vivos multicolor rosados
102021;Rosales vivos anaranjados
102022;Rosales vivos durazno
102023;Rosales vivos rosados
102024;Rosales vivos rojos o burgundy
102025;Rosales vivos sweetheart
102026;Rosales vivos blancos
102027;Rosales vivos amarillos
102028;Rosales vivos spray
102115;Anturios vivos
102116;Allium vivo
102117;Astromelia viva
102118;Amaranto vivo
102119;Amaryllis vivo
102120;AnÇmona viva
102121;Asclepia viva
102122;Aster viva
102123;Berzelia viva
102124;Bouvaria viva
102125;Brodiaea viva
102126;Calla viva
102128;Celosia viva
102129;Narciso vivo
102130;Dalia viva
102131;Delphinium vivo
102132;Clavel (dianthus) vivo
102133;Eremruses vivas
102134;Brezo (erica) viva
102135;Euphorbia viva
102136;Fresia viva
102137;Ajedrezada viva
102138;Hiniesta viva
102139;Margarita viva
102140;Jengibre vivo
102141;Gladiolo vivo
102142;Godetia viva
102143;Bromelia viva
102144;Gypsophilia viva 
102145;Brezo vivo
102146;Heliconia viva
102147;Jacinto vivo
